date,coin,price,market_cap,volume,return,volatility_7d,ma_7,ma_30
2026-01-09 12:01:30.219,binancecoin,889.4541766859155,122575486711.49956,1162150982.6089892,0.00029509352087409013,0.0021427152385360957,891.3885317956367,888.5219244940175
2026-01-09 13:02:51.349,binancecoin,888.468413520593,122387748330.46718,1097273787.828343,-0.0011082787524765436,0.0018652470748545045,890.3013892233877,888.8192703903111
2026-01-09 14:03:52.388,binancecoin,889.4160786306815,122558951821.28503,1115885206.3319635,0.0010666278009066055,0.0020560086211130085,889.500828535973,889.0053012378179
2026-01-09 15:02:39.447,binancecoin,886.2041086356475,122070948965.2892,1084610694.5928214,-0.0036113244095823394,0.002236656321505821,888.5598701030469,889.1317867337028
2026-01-09 16:02:26.434,binancecoin,893.8664506824172,122935839875.26991,1128108934.8660653,0.008646249743263112,0.0040389299458103165,889.1475914113579,889.5267799269678
2026-01-09 17:01:54.970,binancecoin,898.1170496920853,123656544993.69402,1129871916.0282266,0.004755295387161018,0.00400280019700876,890.6740085427981,889.9364525854867
2026-01-09 18:03:39.319,binancecoin,898.3342858714228,123688627810.9854,1120067058.3538156,0.00024187958508536944,0.0040375424976236834,891.9800805312518,890.367856216868
2026-01-09 19:00:29.240,binancecoin,894.6881792756081,123253215999.4105,1131561142.978094,-0.004058741443089597,0.004551255249533576,892.7277951869221,890.7617088805517
2026-01-09 20:01:34.837,binancecoin,892.1176771583157,122941614061.1856,1110589083.236264,-0.0028730703912660527,0.004723272049452114,893.2491185637397,891.0633690327962
2026-01-09 21:01:37.462,binancecoin,892.0460544786037,122942030589.46996,1097101608.749063,-8.028389252434653e-05,0.004724088649475143,893.6248293991572,891.3813321015241
2026-01-09 22:01:50.488,binancecoin,894.1736913559557,123118019367.65028,1079372914.1514077,0.002385119990913065,0.004401484000218731,894.7633412163441,891.6117806864875
2026-01-09 23:00:10.276,binancecoin,895.1316303381826,123236766729.5925,1078761759.8115656,0.0010713119738228194,0.002998481757347481,894.9440811671676,891.8218120581837
2026-01-10 00:01:23.431,binancecoin,895.5121731855866,123437221285.62236,1062500372.9429796,0.0004251250145861363,0.0022589840841791315,894.5719559519537,891.9891473172103
2026-01-10 01:03:04.965,binancecoin,896.8260009681944,123508519078.67416,1023687718.3702075,0.0014671244254940152,0.0023632172625551538,894.3564866800638,892.2922517976607
2026-01-10 02:02:31.748,binancecoin,898.2312815331115,123707194421.26524,1040151441.7671584,0.0015669489548697513,0.0017147981197578991,894.8626441454214,892.6703233806077
2026-01-10 03:01:06.060,binancecoin,898.8116264635792,123783311759.58427,977059871.026152,0.0006460974388211582,0.0008218787510257251,895.818922617602,892.9711978635971
2026-01-10 04:02:15.413,binancecoin,905.695376436822,124701711227.86932,1037779043.4075888,0.007658723775444853,0.0025034616223759605,897.7688257544903,893.4487413478442
2026-01-10 05:01:52.044,binancecoin,904.8177408415478,124665977544.30908,1135508199.035061,-0.0009690185222398506,0.002763846530754396,899.289404252432,893.8958616647047
2026-01-10 06:02:12.665,binancecoin,906.454639107982,124837238671.8212,1179262887.3841572,0.0018090917016191366,0.002750123615508673,900.906976933832,894.3875625300327
2026-01-10 07:00:14.237,binancecoin,904.9616390214608,124635240170.35371,1192888327.8767824,-0.0016470764471903099,0.0030210408279815843,902.2569006246712,894.7731227890124
2026-01-10 08:01:56.641,binancecoin,904.3670457784704,124573513488.9902,1198376226.0801992,-0.0006570369586420544,0.0031301391999655082,903.3341927404248,895.2780071622452
2026-01-10 09:00:50.873,binancecoin,902.8794359915724,124379598846.88995,1198975553.533605,-0.0016449181710478378,0.0032984567783504114,903.9982148059191,895.6799832224992
2026-01-10 10:03:04.645,binancecoin,899.3297150272352,123911252472.67648,1231773833.4089231,-0.003931555889783667,0.0037443447997035128,904.0722274578701,895.8284606934241
2026-01-10 11:01:28.192,binancecoin,901.1771631613202,124120764005.38773,1245679587.665406,0.002054250074489117,0.002089153176540503,903.4267684185127,896.0449059908617
2026-01-10 12:00:29.337,binancecoin,899.638464584673,123913470505.19225,1242927738.9220035,-0.001707431834212847,0.002122648535570832,902.6868718103877,896.1635744261397
2026-01-10 13:01:01.757,binancecoin,898.3087159717004,123763494536.08722,1253838547.734083,-0.001478092217395921,0.0017807077153949166,901.5231685052047,896.2731981771102
2026-01-10 14:01:36.341,binancecoin,901.2547917920516,124097583134.92844,1225363209.7980523,0.003279580580674235,0.002459204797625245,900.9936189010034,896.5553306479742
2026-01-10 15:01:34.227,binancecoin,904.2491774993528,124554360554.87628,1226039919.8685522,0.003322463008875731,0.0028657670285115342,900.9767805754151,897.0385565138114
2026-01-10 16:01:51.668,binancecoin,907.9135577648748,125008008996.35524,1148476063.6724,0.004052400993778793,0.003123217481180566,901.695940828744,897.7212707802404
2026-01-10 17:00:50.883,binancecoin,907.7478455968978,125014976043.40382,1199425815.2325025,-0.000182519763649025,0.0024188748933243985,902.8985309101244,898.339806235062
2026-01-10 18:00:26.863,binancecoin,906.838899527813,124955435659.5881,1190729290.030269,-0.0010013199959588714,0.0025399875697687036,903.7073503910518,898.9192969964587
2026-01-10 19:00:21.070,binancecoin,911.087288170328,125502322952.1746,1193245764.0501018,0.004684832823919516,0.0025956834446538577,905.3428966175741,899.6732594847832
2026-01-10 20:01:20.631,binancecoin,912.0436628068098,125619466242.1982,1240754772.971798,0.0010497069258890157,0.0022088383540926223,907.3050318797325,900.4275122906541
2026-01-10 21:01:45.738,binancecoin,908.3252178475002,125143137600.31198,1199772642.619663,-0.0040770470877086185,0.0031455957941707927,908.3150927447966,901.1648825977157
2026-01-10 22:01:02.978,binancecoin,903.2394520569342,124401905921.72044,1275413534.253141,-0.005599058234470267,0.0038365509987949103,908.1708462530225,901.4773159768664
2026-01-10 23:01:27.913,binancecoin,902.3805453920472,124355746266.07068,1313467879.135779,-0.0009509180128601802,0.0033587443142428417,907.3804159140471,901.6194325001984
2026-01-11 00:01:29.677,binancecoin,906.745705400479,124843428037.53998,1302246387.345198,0.004837382666018408,0.004003520013301062,907.2372530288445,901.8998131511671
2026-01-11 01:01:50.124,binancecoin,904.807060317566,124617505862.79665,1315844980.8503072,-0.002138025106010022,0.004066322298830996,906.9469902845234,902.2371091858989
2026-01-11 02:01:08.377,binancecoin,906.8379669237222,124905928644.41711,1268466416.5187428,0.002244574224966156,0.003649669809999353,906.3399443921513,902.7277855114124
