date,coin,price,market_cap,volume
2026-01-08 07:02:10.963,bitcoin,89801.87826972643,1796693094158.6687,46048480123.10785
2026-01-08 08:01:35.049,bitcoin,90436.90211595457,1806151407939.8872,47664615148.58831
2026-01-08 09:01:11.955,bitcoin,90113.11108556789,1799122239638.0293,48659963443.393906
2026-01-08 10:01:29.642,bitcoin,89953.9737335651,1796844643953.604,47110218630.7247
2026-01-08 11:01:42.538,bitcoin,90336.8452013121,1804083054614.961,47305918907.77923
2026-01-08 12:01:31.024,bitcoin,90102.42196608061,1799054701688.2861,47447712327.9622
2026-01-08 13:02:44.313,bitcoin,89862.44326525465,1794992566157.8977,48429730631.567245
2026-01-08 14:00:21.579,bitcoin,89799.62786464923,1793247291543.0898,48730919281.19711
2026-01-08 15:02:10.164,bitcoin,89832.6869096085,1795365747386.7068,48362465449.437935
2026-01-08 16:02:26.896,bitcoin,90756.33443493617,1809813756621.348,48119031731.12684
2026-01-08 17:01:41.429,bitcoin,90835.33632820725,1813901705578.0193,48878414528.05968
2026-01-08 18:01:44.276,bitcoin,91280.78233290513,1822799569388.9556,49361100625.37107
2026-01-08 19:03:13.841,bitcoin,90971.51274370613,1818181567986.9653,49121379830.25775
2026-01-08 20:02:31.210,bitcoin,90778.5368826718,1813753162502.8716,48575750569.34881
2026-01-08 21:01:25.507,bitcoin,90846.03961965353,1814493120214.364,48221895850.50552
2026-01-08 22:02:50.167,bitcoin,91186.02969446404,1821812831295.3013,48689128182.49102
2026-01-08 23:01:29.936,bitcoin,91144.08785249206,1820450964333.8284,49293182116.366165
2026-01-09 00:02:40.359,bitcoin,91006.17743088726,1817700328476.426,48129297003.09094
2026-01-09 01:01:45.980,bitcoin,91191.15227716474,1821630177440.9666,47902789452.654
2026-01-09 02:01:49.759,bitcoin,90958.3422526683,1816424421660.0266,48539030013.358
2026-01-09 03:00:17.599,bitcoin,90994.71756995487,1817505780176.995,48385321375.598
2026-01-09 04:02:49.337,bitcoin,91102.68492788244,1819679855890.0083,46906111566.980835
2026-01-09 05:01:34.460,bitcoin,90931.48795241989,1815983764865.5942,46773377470.2954
2026-01-09 06:01:24.537,bitcoin,90914.96141127749,1815890705126.7104,46798364487.68865
2026-01-09 07:02:14.822,bitcoin,91008.33617067951,1818040672302.7546,43340063854.81672
2026-01-09 08:01:56.024,bitcoin,90671.47206532785,1811013318590.4321,42723007936.80548
2026-01-09 09:01:18.721,bitcoin,89875.94170610893,1793775440630.3708,43942919039.64506
2026-01-09 10:02:06.049,bitcoin,90217.9149749356,1802305530831.0205,43592062514.2152
2026-01-09 11:02:24.669,bitcoin,90415.78989562979,1805940969924.4626,43161255888.01347
2026-01-09 12:01:12.652,bitcoin,90375.88188062797,1805316439739.8347,42749219690.37568
2026-01-09 13:03:39.347,bitcoin,90356.60572423627,1804728056053.3628,42318706632.379326
2026-01-09 14:00:36.635,bitcoin,90523.67187081781,1809193353904.5679,43010375497.30675
2026-01-09 15:02:35.766,bitcoin,90014.42958104976,1798603396585.4429,41639378843.471954
2026-01-09 16:02:06.960,bitcoin,91106.58180240265,1819216382335.0806,44540242667.34421
2026-01-09 17:00:15.493,bitcoin,91516.64563560692,1825318757148.8518,44898816875.53952
2026-01-09 18:04:00.980,bitcoin,91315.91891676773,1824069207649.1917,44466502503.6656
2026-01-09 19:02:51.939,bitcoin,90576.40547817477,1813611200580.6135,44956129281.92004
2026-01-09 20:01:35.859,bitcoin,90184.18185178905,1802995421191.9685,44938480962.30745
2026-01-09 21:01:50.049,bitcoin,90181.26835408638,1801501712196.02,44615625927.38714
2026-01-09 22:01:50.510,bitcoin,90382.07616369051,1804725963403.8677,44247854955.775986
2026-01-09 23:01:30.544,bitcoin,90501.12609798246,1807592629451.999,43007078493.55226
2026-01-10 00:02:22.057,bitcoin,90513.10972085517,1807824753535.544,42873449054.48731
2026-01-10 01:01:50.934,bitcoin,90479.05127953873,1806475505218.2332,42706598354.80946
2026-01-10 02:02:28.519,bitcoin,90584.38021300215,1808966599186.5557,41961718033.56288
2026-01-10 03:02:26.947,bitcoin,90563.20736871904,1808965454090.9128,41204612585.919586
2026-01-10 04:02:22.612,bitcoin,90516.4196390658,1807875013818.382,40233023648.28043
2026-01-10 05:02:19.480,bitcoin,90337.10544104721,1804305650869.5647,40293986344.327095
2026-01-10 06:00:05.972,bitcoin,90477.10336720805,1807300409342.1296,39761868404.60799
2026-01-10 07:02:38.275,bitcoin,90411.41406005711,1805872347742.7688,39293887266.505135
2026-01-10 08:01:26.469,bitcoin,90550.1254728524,1808644136948.2188,38760326974.21452
2026-01-10 09:01:36.994,bitcoin,90536.31233043248,1808171107843.068,36533016940.62198
2026-01-10 10:03:04.886,bitcoin,90626.47106220131,1810136127091.6,36000687374.63744
2026-01-10 11:01:08.105,bitcoin,90706.43185761382,1811771902639.752,35174801900.693825
2026-01-10 12:02:29.171,bitcoin,90610.94754141169,1809862459252.3147,34092393704.496708
2026-01-10 13:02:40.498,bitcoin,90615.82686099659,1809727044497.308,32455387346.843864
2026-01-10 14:01:35.090,bitcoin,90535.42846457014,1808350616628.2458,30924463655.95517
2026-01-10 15:02:22.314,bitcoin,90457.5911430405,1806868156855.5508,29597282633.93153
2026-01-10 16:01:46.849,bitcoin,90543.90135526682,1808523769782.8784,23529493654.511517
2026-01-10 17:02:13.277,bitcoin,90562.0776758831,1808743209383.877,20472742019.235058
2026-01-10 18:00:52.634,bitcoin,90435.06588523755,1806862841248.196,19363245209.548664
2026-01-10 19:00:21.369,bitcoin,90467.62620146402,1807017235524.6792,17962872462.187317
2026-01-10 20:02:55.860,bitcoin,90510.82542755413,1807953945905.9475,15964341069.87373
2026-01-10 21:02:24.613,bitcoin,90448.41475268416,1806739683400.139,14921752720.005157
2026-01-10 22:01:03.273,bitcoin,90389.70963179453,1805459694090.075,14614595011.988028
2026-01-10 23:00:14.104,bitcoin,90363.86140473763,1804978804460.3374,14103174744.58236
2026-01-11 00:00:20.082,bitcoin,90442.01907847001,1806483854865.5005,13961660357.407768
2026-01-11 01:02:29.593,bitcoin,90501.27929051575,1807708999081.4167,13561459507.4911
2026-01-11 02:01:34.340,bitcoin,90512.07969256911,1807857158950.737,13676809835.537983
2026-01-11 03:01:46.339,bitcoin,90592.97255985778,1809506494950.1672,13691617917.689316
